بزغاله بودن ، بهتر از حرامزاده بودن است	Ardalan	ardalanmusavi	UK			
اطلاعيه دبيرخانه شوراي ملي مقاومت ايران حمله نافرجام نيروهاي عراقي به مجاهدان اشرف در حمايت از مزدوران اطلاعات	Pouneh Mohammadi	Pouneh64	not-given			http://ow.ly/1ABl5
دوره جدید تدوین صدا	DarsNameh	darsnameh	not-given	#darsnameh		http://t.co/P2kTwiE
همکارم دیروز اومده میگه تهران تمیزترین شهر دنیاست فرید ذکریا گفته می گم ایشون خیلی خیلی لطف داره شما زیاد جدی نگیر	solmaz Sharif	solmaz26	New York	#ایران,#فریدذکریا		
شرکت ویوسونیک تبلت آندرویدی viewpad e را معرفی کرد viewsonicخط جدید viewpad eرا به محصولات خود افزوده است،	Mehdi	mehdiag54	not-given			http://t.co/U3wF0L8e
کاش باقیم میدونستن ولی خوب دونستن حق مسلم نیست چیز دیگر حق مسلمه	hooman h	hooman777	persia,iran		@asmanehS	
جمعه رفتیم پارک اب و اتش شادی کردیم بعدشم مفصل کتک خوردیم اینم شد زندگی هیچیش رو حساب نیست	hooman h	hooman777	persia,iran			
یه سری برند هستن که رو برندینگ خوب کار نمیکنن، ولی محصولات خوبی دارن مثل shure	Alireza	aliereza	Kerman, Iran			
بعضی ها بیشتر از سنشون میفهمن، بعضی ها هم کمتر یه سری هم هستن که کلا نمیفهمن	Alireza	aliereza	Kerman, Iran			
مودت پایین ایا؟	agha khashayar	aghakhashayar	not-given		@nevisandeyoohoo	
برای ثبت نام فقط تا فردا ساعت شب وقت دارین اسم و تاریخ تولدتون رو به آدرس ای‌میل info بفرستین و	Offchi	MyOffchi	تهران، ایران		@offchi.com	http://t.co/i0sVtua5
همون‌طور که قبلا گفتم از جمعه اومدیم نمایشگاه باید خودتون بیاین ببینین چه خبره آفچی کلی دوست جدید ‍‍‍‍داره الان	Offchi	MyOffchi	تهران، ایران			
بقولك زي ما قالت ريما لما استاصلوا رئتها قالت سبقتني للجنه وانتي لسانك حيسبقك بالجنه سبحان الي نشر محبتك بيننا يارب يفرحك قريب	mimi	3fifah	not-given		@LujainAK	
زدبازی دی	saeed	zedbazz	not-given			
دل تو اولین روز بهار ، دل من آخرین جمعه ی سال و چه دورند و چه نزدیک بهم همین نزدیکیا کسی که ما رو نمیبینه	بـــهـــنـــام	zamoone	شـهــر گــُل هـا		@redros85	
ناز نکن ناز تو دیگه خریدار نداره با توجه به افزایش قیمت دلار	بـــهـــنـــام	zamoone	شـهــر گــُل هـا	#		
لست اف ام بد نیست گرچه همه آهنگای رادیوشو دارم	Ary@n	Go0lakh	london			
تو اين موقع ملت ميرن دختر بازي مي كنند ما بايد بشينيم دخترا مارو بازي بدن	اك30يژن	Ox30jen	not-given			
عجيبه	Mohamad	mohamad_sl	mashhad		@N3GAR	
بهونشونه	Mohamad	mohamad_sl	mashhad		@Nargesi	
منم شايد همينطور	Mohamad	mohamad_sl	mashhad		@HenNa_TenNa	
من كه تا دوازدهم امتحان دارم، تابستونم ميخوام بردارم، حالا تا ميتوني بستني بخور	Mohamad	mohamad_sl	mashhad		@Nargesi	
صفحه باشگاه روبین کازان روسیه را ایرانی ها هی میرن دست کاری میکنند و اسم حقیقی را اضافه میکنند و روس ها حذف میکنند	Parham	21aban	Nice, France			
هورااااا شدم فالوعر	Pouria	goozdila	Iran , Shiraz			
دم همتون گرم چه یهو استقبال زیاد شد مهم شدم مثلأ مغسی	Pouria	goozdila	Iran , Shiraz			
اون رو خودم می کشمش هم خود کچل کلاه گیسیش رو هم او آبجی خانومش رو با هم ایشالا	merry.nazanin	NazaninMerry	iran. bandar_e_pahlavi		@mighhh	
کاش همیشه همیشه همیشه یه گزینه خوب واسه انتخاب باشه عوض یه عالمه گزینه چرند کلی ام درگیر می شی کدوم رو انتخاب کنی	merry.nazanin	NazaninMerry	iran. bandar_e_pahlavi			
گداهه تو پمپ بنزین یه برگه چسبونده به شیشه ماشین نوشته تو بیمارستان اعصاب و روان بستری بوده والله من دیگه جرأت ندارم تنها برم پمپ بنزین	l\lil\la	lvlilvl	not-given			
اگه دلم نمیخواد بمیرم برا خودم نیس به خاطر اینه که خودخواهیه	چی چی نی	chiichiinii	ایران			
استراتژی این نظام، کشتن بی صدای زندانیان معترض است	CYPRUS 	pouyarn	not-given			http://t.co/bfGdNe8
برخيز ز خواب تا شرابي بخوريم زان پيش که از زمانه تابي بخوريم	taha parkhonde	taha_uncanny	not-given	#خيام		
زندگي باتلاقيست زير پرتگاهه جبر	taha parkhonde	taha_uncanny	not-given			
يکي منو دوش بگيره بايد چار را بيفدم	taha parkhonde	taha_uncanny	not-given			
خدايا چرا پس ساعت واستاده ايا کار دارم بجون خودت	taha parkhonde	taha_uncanny	not-given			
قشنگ کره شمالی داریم میشیم شدیم بی اعصاب	Amir Javadi	Amir_Javadi	not-given	#اسمایلی		
توعيت كنندگان خستگي همه خستن	Sid h	zuchini006	not-given			
حالا قیمت دلار و از کجا پیدا کنیم؟	Sid h	zuchini006	not-given			
خدایا میشه اینقدر این هوای دو نفره رو به رخ ما آدمهای تنها نکشی؟	ــــرMEHRمـهـــ	Mehrdadoul	Iran, Tehran			http://t.co/ZX55XgIJ
مرا چه میشود ؟ پس چرا جفت و جور نمیشوم؟	لوده	L0deh	not-given			
روم نيستم	ahmad musavi	ahmadahmadi3	not-given			
آخرش هم هیچی نیست حتی اگه دوباره شروع کنی همون تکراره	mozhdeh	nationalismladi	not-given			
آخی چرا؟	mozhdeh	nationalismladi	not-given		@mohebro	
در چشم من نیاید خوبان جمله عالم	mozhdeh	nationalismladi	not-given			
کدوم فرهنگ؟	Baha Firuzi	Bahaaa1989	not-given		@1Farish	
یارو کلا یه آهنگ خونده، بعد فن پیج ساخته برا خودش بعد همچون مطلب میذاره انگار یکی دیگه داره کنترلش میکنه برو عامو ما خودمون توله سگ عالمیم	Baha Firuzi	Bahaaa1989	not-given			
دارم مي گوشم بار	Mostafa Benam	MostafaBenam	Iran/Tehran		@lLuminous	
پس چيكارش كنيم	Mostafa Benam	MostafaBenam	Iran/Tehran		@faziyeh	
مسكن مهر ميشه منتها بايد صبر كني اول خونه بگير اجاره بده چند سال بعد بفروش	Mostafa Benam	MostafaBenam	Iran/Tehran		@elhaaaaaam	
دختر تو کلاس زبان در جواب سوال غذای مورد علاقه گفت آی لایک ماکارونی با لهجه غلیظ بریتیش	SAEB	DeSaeb	iran			
اصن این زندگی چه انتخابی واسه ما گذاشته؟	آبلوموف	ablomof	Iran - Zanjan			
منم همین فکرو میکردم ولی گولمون زدن نامردا تو کوهنوردی فک میکنی این قله آخریشه میرسی بالا میبینی بازم هس	آبلوموف	ablomof	Iran - Zanjan		@egza	
وعبارات غابية	peter بيتر ميلاد	BobJesus74	Egypt_Assiut		@Nadiaglory	
این همه برف اومده بعد وقتی مریضی و بگا رفتی چه فایده ای داره	Hamed	HamedNoori	Iran			
ماله سیگار ینی ؟ فک نکنم این سرفه های عن واسه اون باشه	Hamed	HamedNoori	Iran			
قاسم ابن حسن ع يا صاحب الزمان اگر مرا نمي خواستي و دوستم نمي داشتي ؛ پس چرا اين دلم بهانه ي…	dinist	BaMaBash	not-given			http://t.co/B18C7ufP
شب آخر حسینیه زینب شده شیدا شب آخر حسینیه زینب شده شیدا واسه روضه خوندن کاش بیاد حضرت زهرا…	dinist	BaMaBash	not-given			http://t.co/MW2EA9sg
اس ام اس هاي جديد	ahmad toranji	bia2mob	iran			http://t.co/Ao1onmfl
نسخه فارسی قالب s fusion از شرکت shape سی ام اس فارسی	پیمان منفرد	pemonfared	Tehran			http://t.co/MnuKzKC
خودتونو گاییدم	Navid Hazrati	Nehyy	Iran			
هستیم زیر سایه دوستان ولطفشان ممنون شوما چوتوری؟	sirus	ghonboloddin	not-given		@_iEmjey	
زین سبب آن کس که می نوشد شراب تا شود لایعقل مست خراب چون شود از عقل و حیلت بی خبر بس شرف دارد به شیخ حیله گر	sirus	ghonboloddin	not-given			
بوخودا مو کاری نیکیردوم	sirus	ghonboloddin	not-given		@EhsanHidi	
خوب یه عده با کلاس و مودب عن توییت عدبی باید بوکونیم	sirus	ghonboloddin	not-given			
کله گنده ها کو؟این کوروش رفت باخاباد؟	sirus	ghonboloddin	not-given			
خیلی واسم مهمی	Touba	touba68	Buz			
امشب همه دارن بیرون میگردن کسی جواب اس ام اس نمیده	Touba	touba68	Buz			http://ff.im/FOWA1
ما به لخره نفهميديم شما چه چيزايي بلدي وردپرس،پي اچ پي وغيره يه رزومه تو اين مورد بزار	M.Sharif Sharifany	far30it	not-given		@armantaherian	
باريكللاه كه شما ميتوني خوابم مثه پروژه هات سيو كني	M.Sharif Sharifany	far30it	not-given		@armantaherian	
تجربه ی ریبون ویندوز۸ در ویندوز۷	M.Sharif Sharifany	far30it	not-given			http://t.co/F2HoV0QD
حالا چرا فردا؟	M.Sharif Sharifany	far30it	not-given		@Friedrish	
مسیح آسمانی، مسیح زمینی؛ تصویر عیسی در سینما	asadehsan	asadehsan1	not-given			http://t.co/PvEBu5Kx
tehranazad به رغم تهديد به بستن تنگه هرمز، اتحاديه اروپا تحريمها عليه ايران را پيش خواهد برد	Iran Akhbare Sima	IranAkhbareSima	not-given			http://t.co/8jfThQLK
بيانيه يونامي مارتين كوبلر يادداشت تفاهم با دولت عراق براي جابجايي داوطلبانه ساكنان اشرف را امضا ميكند via	Iran Akhbare Sima	IranAkhbareSima	not-given		@AddThis	http://t.co/L378AnAK
ایاد علاوی دخالت رژیم در عراق را فاجعه بزرگ خواند سازمان مجاهدين خلق ايران via	Iran Akhbare Sima	IranAkhbareSima	not-given		@AddThis	http://t.co/RerxLnG5
عيني بغير شخصك ماتشوف العين عيني بغير شخصك ماتشوف العين تشوف شلون عيني وتفتقد شخصك ولأن نصك لغز داخت عب	منتديات حبايب بغداد	ammarthamer	not-given			http://t.co/aWxvOBsY
پاستیل نوشابه ای و شکلات شونیز فندقی سلام میرسونن	آرش پی تی	gtkx	تهران			http://t.co/ZhJGJ0yO
حسین هم اکانت پاک کرده من الان به کی فحش بدم ؟	آرش پی تی	gtkx	تهران			
پیش به سوی کافه	آرش پی تی	gtkx	تهران			
آينه چون نقش تو بنمود راست خود شکن آئينه شکستن خطاست خامنه‌ای و نقد علوم انسانی	behdadexpeell	kakabehdad	Oslo			
باورم نمیشه هیشکی آنلاین نیست	Mostafa Mousavi	mostafamou	not-given			
امشب میخوام مست بشم ⁰به قول امید	Mostafa Mousavi	mostafamou	not-given			
خاب به خاب هم فلسفه ای برا خودش داره هاااااااااااااااااااا	بــــــهـــــار	3ahaar	not-given			
قسمت اولشو هستم	ehsan  rad	ehsany120	not-given		@egza	
به یاد شاعر pic	کلاغ کوچیکه	littlecrow	not-given			http://t.co/KGHnjhSz
پگاه آهنگرانی در زندان سپاه است نام دیگری بر صفحه کتاب ازادی اضافه شد	sia saysan	shirenar	not-given	#iranelection		
میدونستم اینو ببینی‌ ریپلای میزنی	Hilda Azadi	HildaAzadi	Amsterdam. The Nederlands		@3_6_0_9	
سید جان از جانب من از امام زمان تشکر کن و بپرس این پول حلال و چطوری توی چاه در آورده ؟ به ما هم بگه اشتغال زایی بشه	Arastoo	Aras2oo	not-given			
البته شب اول كه پاپ بود چون با بروبكس بوديم خيلي حال داد	Pooya	pooyaaaa	Istanbul			
الان اولين بار بعد ٥ ساله حس ميكنم واسه امتحان فردا همشو بلدم	Pooya	pooyaaaa	Istanbul			
ماشين خيلي كثيفه واقعاً كارواش ميخواد	Pooya	pooyaaaa	Istanbul			
شاهرودی دست همه ی چابلوسای بی کله رو با اون مقدمه ی مزخرفش توی مراسم تحلیف از پشت بست	پویان 	pujan_snowman	Germany			
زندگیمون با جهنم مو نمیزنه؟شبا خواب غسالی روزا کابوس زندگی فیلم و موزیک کتاب فقط ذهن آدم رو فاسد میکنه همین و بس حیف جاهلی نیست ؟	پویان 	pujan_snowman	Germany			
